assigned_to,title,published,url,video_id,channel_id,full_transcript_length,baseline_summary,rag_summary,human_summary,rag_flan_t5_lg,rag_flan_t5_after_gemini_2.5flash,open-router-gpt-oss-20b,quality_of_baseline,quality_of_rag,quality_of_human,quality_of_rag_flan_t5_lg,quality_rag_flan_t5_after_gemini_2.5flash,quality_of_open-router-gpt-oss-20b,relevance_of_baseline,relevance_of_rag,relevance_of_human,relevance_of_rag_flan_t5_lg,relevance_of_rag_flan_t5_after_gemini_2.5flash,relevance_of_open-router-gpt-oss-20b,informative_of_baseline,informative_of_rag,informative_of_human,informative_of_rag_flan_t5_lg,informative_of_rag_flan_t5_after_gemini_2.5flash,informative_of_open-router-gpt-oss-20b
Matthew,Creating Stable Diffusion Interpolation Videos,2022-09-16 15:19:34,https://youtu.be/275_oeBw3vY,275_oeBw3vY,UCfzlCWGWYyIQ0aLC5w48gBQ,5716,Stable diffusion is put super simply a text to image generation AI which runs on only a few gigs of memory and which all by itself is absolutely insane. One of the more interesting things that we can do is interpolate between two or,DeepMind has created a visual grammar for image generation. The grammar can be used to create stunning images by using clip models. This video shows how to use the grammar to create a short summary.,"A short tutorial video introducing a new series on interpolation videos using Stable Diffusion, a text-to-image AI capable of generating diverse visuals with minimal hardware.",A new video in a new series on making interpolation videos with stable diffusion like the one playing right now.,I'll be using a package from Nate Raw on GitHub which makes this whole process a breeze to do.,"The video explains how to create smooth interpolation videos with Stable Diffusion using a GitHub package from Nate Raw, outlining a workflow that generates many images from prompts, manually selects the best ones, and then interpolates between them—optionally upscaling with ESRGAN. The speaker demonstrates with a Porsche 911 evolution example, encourages viewers to experiment with any images or themes, and notes the process runs on modest GPU memory. He also promotes a giveaway of an NVIDIA 3090 Ti GPU for attending the GTC conference and invites viewers to share their own interpolation projects.",3,3,3,2,2,3,4,4,3,2,2,4,3,3,4,2,2,3
Matthew,[Classic] ImageNet Classification with Deep Convolutional Neural Networks (Paper Explained),2020-07-23 13:00:13,https://youtu.be/Nq3auVtvd9Q,Nq3auVtvd9Q,UCZHmQk67mSJgfCCTn7xBfew,37944,"Alex Krzyzewski, Ilya Satskiwer and Jeffrey E. Hinton: ImageNet classification with deep convolutional neural networks. This paper is another one in the installment of our historical paper overview.",The daily transcript is a written version of each day's episode of Learning Intelligence 19. Use this transcript to help students with reading comprehension and vocabulary. Use the weekly Newsquiz to test your knowledge of stories you saw on Learning Intelligence.,"A video reviewing the landmark paper “ImageNet Classification with Deep Convolutional Neural Networks” by Krizhevsky, Sutskever, and Hinton, also known as AlexNet.","This paper was the first to show that you could actually use CUDA GPUs to train those large networks efficiently, and it won the ImageNet competition that year. And it did so by a very, very large margin. So kind","Alex Krzyzewski's paper on object recognition. It's a good read, and you'll get an idea of how much work has gone into it.","Alex Krzyzewski and colleagues explain that AlexNet—by using deep convolutional neural networks and CUDA‑accelerated GPUs—revolutionized image classification, allowing training on the vast ImageNet dataset (15 million images, 22 000 categories) and winning its 2012 competition by a huge margin. The talk emphasizes that the choice of a deep, structured architecture was driven by the need for immense model capacity and strong inductive biases (such as stationarity and locality) to handle the enormous, complex variability in real‑world images, a paradigm that shifted computer vision from hand‑crafted features to learned deep models.",2,2,4,2,3,4,2,2,4,3,3,4,2,3,4,3,2,5
Matthew,Building our Neural Network - Deep Learning and Neural Networks with Python and Pytorch p.3,2019-09-25 14:19:43,https://youtu.be/ixathu7U-LQ,ixathu7U-LQ,UCfzlCWGWYyIQ0aLC5w48gBQ,22933,In this tutorial we are going to be actually building our neural network and at least really basically explaining how we pass data. And then in the next tutorial we'll actually train the neural network.,"This week's episode of Learning Intelligence is going to be called Nanodegree. The first project is building a computer vision capstone. The second is an example of what it is I've been building. The third and final thing is if we go here, playground.tensorflow.org.","A tutorial video from a PyTorch deep learning series where the creator builds a feed-forward neural network from scratch using torch.nn and torch.nn.functional. The video covers defining layers, using ReLU activations, applying LogSoftmax for classification, and explaining how data flows through the network.",The next tutorial will teach you how to build a neural network.,Y we're gonna make a couple new imports So we want to import torch import torch dot nn as nnd And then we'll import,In this part of the tutorial the speaker explains how to build a plain,5,3,4,2,1,2,3,5,3,2,1,1,4,2,3,1,1,1
Matthew,Longformer: The Long-Document Transformer,2020-04-20 14:07:56,https://youtu.be/_8KNb5iqblE,_8KNb5iqblE,UCZHmQk67mSJgfCCTn7xBfew,20111,The long former is a variant of the transformer. It is a transformer that can deal with long documents. The goal is to actually just be able to put this entire document here into the model at the same time.,"The long former is a variant of the transformer that can deal with long documents. The classic transformers have a limit, a very harsh limit on the amount of tokens that they can look at at the same time. The long former has the encoder as a side input.","A video explaining Longformer: The Long Document Transformer by Beltagy, Peters, and Cohan from Allen AI. Yannic summarizes how Longformer modifies the standard transformer to handle longer text sequences efficiently by replacing full attention with a sliding window attention",The long document transformer is a variant of the transformer that can deal with long documents.,"I'm going to do this is I'll draw six units here. And the units are actually the input sequence. And they expose something called keys on the lower layer. And these are vectors that point somewhere, and the upper layer will produce what are called queries. And basically, the keys and queries, they decide where information gets routed to. Right?","The Longformer is a transformer variant that tackles the classic transformer’s quadratic‑time, limited‑context problem by replacing global self‑attention with a sliding‑window attention mechanism, allowing it to handle entire long documents in one pass. Unlike ordinary transformers that must split texts into independent chunks—losing cross‑chunk dependencies—the Longformer can attend to contiguous token windows, thus preserving long‑range context while keeping",4,4,5,3,2,3,4,4,5,2,1,4,4,4,4,3,2,4
Matthew,Jetson Nano 2GB from NVIDIA,2020-10-14 15:30:53,https://youtu.be/iRrySp4VoPs,iRrySp4VoPs,UCfzlCWGWYyIQ0aLC5w48gBQ,7623,The Jetson Nano is the little brother to the 4 gigabyte Nano the original one which we also reviewed on this channel some time ago. The only significant difference is this has 2 gigabytes of RAM This one has 4 the GPU is,"You are an expert summarizer. Given the following transcript and relevant context, generate a concise summary. The Jetson Nano has 2 gigabytes of RAM and a 128 core Maxwell GPU.","A review video of the NVIDIA Jetson Nano 2GB, a smaller, cheaper version of the 4GB model designed for affordable AI and deep learning projects.","The Jetson Nano is a little brother to the 4 gigabyte Nano, which we also reviewed on this channel some time ago.",T this board I just see the one I'm not really sure you need two Two is kind of cool I guess so you could run like the two Raspberry Pi cameras and so on But if you need more cameras you can always,"The 2‑GB Jetson Nano is basically a trimmed‑down version of the 4‑GB model, sharing the same 128‑core Maxwell GPU and ARM CPU but with half the RAM, one CSI port, HDMI instead of DisplayPort, USB‑C power, and fewer USB ports for just $59. In practice, object‑detection workloads run almost as fast as on",3,1,5,3,1,3,3,1,5,2,1,3,3,1,5,2,1,4
Matthew,Meta-Learning through Hebbian Plasticity in Random Networks (Paper Explained),2020-08-12 9:20:25,https://youtu.be/v2GRWzIhaqQ,v2GRWzIhaqQ,UCZHmQk67mSJgfCCTn7xBfew,32259,"The paper is called meta learning through Hebbian plasticity in random networks by Elias Naharo and Sebastian Rizzi. It tries to implement this sort of more biologically plausible way of learning a policy adapting to the environment, and achieve","You are an expert summarizer. Given the following transcript and relevant context, generate a concise summary. The goal of reinforcement learning agent is usually to maximize all the rewards that it collects.","A research video showing a totally different take on training agents, instead of using reinforcement learning, the authors build a system that learns how to learn using Hebbian plasticity.",This paper uses a policy that is adaptive during training to learn a policy that is able to walk forward.,"So this paper deals with this problem and tries to implement this sort of more biologically plausible way of learning a policy adapting to the environment, and achieve ultimately good performance in this task.","The video explains a recent paper on “meta‑learning through Hebbian plasticity in random networks,” which tackles quadruped locomotion not by training a fixed policy as in typical reinforcement learning, but by learning plasticity rules that adapt a randomly initialized neural network during each episode. In this approach, the network weights are not fixed after training; instead, the Hebbian learning rules continually update the network in response to sensory input, allowing the robot to re‑configure itself on the fly, even when legs are damaged. This biologically inspired method demonstrates rapid adaptability and robustness to perturb",4,1,4,2,3,3,5,1,4,3,3,3,3,1,5,3,3,4
Matthew,"Machine Learning PhD Survival Guide 2021 | Advice on Topic Selection, Papers, Conferences &amp; more!",2021-03-30 14:09:13,https://youtu.be/rHQPBqMULXo,rHQPBqMULXo,UCZHmQk67mSJgfCCTn7xBfew,13548,"Train. on how to do a PhD. So mainly that you don't repeat my mistakes. When it comes down to choosing a topic, make sure you look for something that your advisor or the senior people around you have lots of experience","You are an expert summarizer. Given the following transcript and relevant context, generate a concise summary.Limit your summary to 5 sentences.","A video about how to survive a machine learning PhD, with advice on picking a niche topic, avoiding hype, and writing papers that give reviewers nothing to reject.",The podcast is a guide to survive a machine learning PhD in 2021.,Choose a topic that matches your interests. Find a subject that fits your expertise. Find niche topics. Look for smaller communities that publish year after year. Write papers that cannot be rejected.,"The speaker offers practical PhD advice, stressing that a successful topic should align with your advisor's expertise, your interests, and your existing skills while also being realistic about available resources.  They warn against chasing the most hyped subjects, suggesting instead to pursue niche, low competition areas where you can become a leading expert.  For publishing, the key is to write â€œunrejectionable papers learn from top papers in your niche, eliminate obvious criticisms, and treat rough reviews as a normal, non personal hurdle rather than a failure.",5,1,5,4,4,4,5,1,5,4,4,4,5,1,5,1,4,4
Matthew,Streamlit for ML #3 - Make Apps Fast with Caching,2022-01-27 15:00:36 UTC,https://youtu.be/lYDiSCDcxmc,lYDiSCDcxmc,UCv83tO5cePwHMt1952IVVHw,6980,"In this video, we are going to continue with the app that we've been building. We have this AI Q&A, it's just the very basics of Streamlit. And we have this search bar or text input that we","Streamlit is an app that uses machine learning and natural language understanding to help people with information retrieval problems. In this video, we look at the basics of the app, including the search bar and text input. We also look at how we can iterate through all the contexts that we returned from Pinecone.",A video about optimizing a Streamlit-based AI Q&A app by fixing slow performance caused by reloading ML models and Pinecone connections every time the UI changes.,"In this video, we continue with the app that we've been building.","We're going to have a look at how we can iterate through all the contexts that we returned from Pinecone and then display them. Now at the moment, it's very ugly and at the same time, another really bad thing that we need to solve in this video is this takes forever to do anything.","The video explains how the presenter refactors a Streamlit‑based AI Q&A app to avoid re‑downloading the retrieval model and reconnecting to Pinecone on every rerun. After discovering that st.cache re‑hashes API connections and slows execution, they switch to st.experimental_singleton, which runs each expensive operation only once and keeps the result cached for the session’s lifetime. The final demo shows a single‑execution spinner and validates that the app now loads quickly and without repeated expensive initializations.",3,3,4,2,4,4,3,3,4,1,2,3,4,4,4,1,3,4
Matthew,How to avoid knee surgery: Strengthen your glute medius (here&#39;s how),2020-04-13 9:45:30,https://youtu.be/qmPfQOU7aHU,qmPfQOU7aHU,UCr8O8l5cCX85Oem1d18EezQ,9612,"When rona used to be a weight lifter or bodybuilder and whatever and I used to lift heavy weight every basically every session, I found myself I ran into a lot of lower back injuries. I learned that my glutes didn",Use the weekly Newsquiz to test your knowledge of stories you saw on Raw. Use the Daily Discussion to help people understand today's featured news stories.,"A video about glute activation for heavy lifting, focused on prepping the body to avoid lower back strain by properly engaging the glutes.",The theme for today is preparation.,"So I'm going to start using my glutes first. So let's get on the ground. It's gonna be completely ground-based. There's no rest. We're just gonna go one leg and then into the other leg. And we're doing 10 reps per movement. By the end, you should feel a little pump in your butt cheeks.","After years of heavy lifting that led to lower‑back spasms, the narrator discovered that weak glute activation was causing his back to over‑compensate. He now starts every session with a ground‑based glute‑mobilizing routine that alternates each leg through forward‑back movements, clockwise and counter‑clock",4,3,4,2,4,4,3,3,5,1,2,3,3,3,3,1,2,2
Matthew,Setup Apple Silicon Mac for Machine Learning in 13 minutes (TensorFlow edition),2021-12-05 11:00:18,https://youtu.be/_1CaUOHhI6U,_1CaUOHhI6U,UCr8O8l5cCX85Oem1d18EezQ,11818,"The M1 machine learning cooking show. The code in this video will work for the M1, M1 Pro and M1 Max. We're gonna go ahead and set up an environment or get our machines ready for machine learning.","This is a fast-paced tutorial on how to build a neural network using Python and TensorFlow. The code in this video will work for the M1, M1 Pro and M1 Max. To run the demo you do need a GPU that is CUDA capable though the code is available.",A video about setting up machine learning on a new M1 Pro MacBook using TensorFlow with GPU acceleration via Apple’s Metal framework.,The M1 machine learning cooking show teaches you how to use the new M1 Pro and M1 Max machines for machine learning.,Python 3.9.,"The video walks viewers through setting up a machine‑learning environment on an M1‑powered MacBook Pro, highlighting that the code works for M1, M1 Pro, and M1 Max chips. It starts by installing Homebrew, then Miniforge (an ARM‑compatible conda installer), and shows how to create a dedicated conda environment for TensorFlow projects. Throughout, the speaker explains package‑manager basics and emphasizes using isolated environments to keep dependencies clean for data‑science tools.",4,4,5,4,1,4,5,5,4,4,1,4,4,5,5,3,1,3
